id,roll,adv,basis,type
1106,19,none,athletics,check
1107,6,none,strength,check
1108,3,none,dexterity,save
1109,3,none,initiative,nan
1110,1,none,melee,attack
1111,10,none,perception,check
1112,6,none,persuasion,check
1113,6,none,melee,attack
1114,7,none,constitution,check
1115,14,none,strength,save
1116,16,none,melee,attack
1117,5,none,strength,check
1118,8,none,strength,save
1119,8,none,strength,check
1120,20,none,dexterity,save
1121,20,none,strength,check
1122,4,none,persuasion,check
1123,10,none,intimidation,check
1124,14,none,initiative,nan
1125,14,none,melee,attack
1126,13,none,melee,attack
1127,20,none,athletics,check
1128,2,none,stealth,check
1129,8,none,strength,check
1130,2,advantage,ranged,attack
1131,1,none,melee,attack
1132,3,none,melee,attack
1133,10,advantage,melee,attack
1134,13,none,athletics,check
1135,9,none,ranged,attack
1136,2,none,dexterity,save
1137,2,none,dexterity,save
1138,6,none,initiative,nan
1139,4,disadvantage,wisdom,save
1140,6,none,dexterity,check
1141,8,none,melee,attack
1142,6,none,strength,check
1143,7,none,melee,attack
1144,10,none,melee,attack
1145,16,none,intimidation,check
1146,10,none,constitution,check
1147,16,none,melee,attack
1148,15,none,melee,attack
1149,6,none,melee,attack
1150,13,none,dexterity,save
1151,19,none,melee,attack
1152,18,advantage,melee,attack
1153,4,none,sleight of hand,check
1154,6,none,perception,check
1155,6,none,melee,attack
1156,16,none,perception,check
1157,7,none,melee,attack
1158,14,none,dexterity,save
1159,15,none,melee,attack
1160,5,advantage,perception,check
1161,6,none,strength,check
1162,12,none,sleight of hand,check
1163,13,none,melee,attack
1164,2,none,melee,attack
1165,8,none,athletics,check
1166,1,none,dexterity,save
1167,3,none,thieves’ tools,check
1168,8,none,melee,attack
1169,14,none,arcana,check
1170,18,none,charisma,check
1171,12,none,initiative,nan
1172,6,none,melee,attack
1173,6,none,strength,save
1174,14,none,perception,check
1175,8,none,ranged,attack
1176,13,none,strength,check
1177,14,none,strength,check
1178,10,none,strength,check
1179,20,advantage,ranged,attack
1180,15,none,strength,check
1181,19,none,persuasion,check
1182,2,none,deception,check
1183,4,none,strength,check
1184,1,none,athletics,check
1185,3,none,melee,attack
1186,12,none,dexterity,save
1187,10,none,strength,check
1188,13,none,melee,attack
1189,8,none,investigation,check
1190,11,none,athletics,check
1191,15,none,strength,check
1192,2,none,strength,check
1193,5,disadvantage,melee,attack
1194,14,advantage,medicine,check
1195,9,none,melee,attack
1196,14,none,initiative,nan
1197,6,none,melee,attack
1198,13,none,strength,check
1199,5,none,melee,attack
1200,9,none,dexterity,save
1201,17,none,melee,attack
1202,2,advantage,intimidation,check
1203,5,none,initiative,nan
1204,4,none,medicine,check
1205,6,none,melee,attack
1206,8,none,melee,attack
1207,17,none,strength,check
1208,4,none,insight,check
1209,11,none,constitution,check
1210,11,none,initiative,nan
1211,14,none,athletics,check
1212,1,none,melee,attack
1213,9,none,athletics,check
1214,18,none,dexterity,save
1215,16,advantage,dexterity,save
1216,17,none,dexterity,save
1217,16,none,melee,attack
1218,5,none,melee,attack
1219,17,none,charisma,check
1220,15,none,initiative,nan
1221,13,advantage,initiative,nan
1222,8,none,melee,attack
1223,3,none,initiative,nan
1224,7,none,strength,check
1225,9,none,strength,check
1226,6,none,initiative,nan
1227,7,none,investigation,check
1228,12,none,dexterity,save
1229,3,none,stealth,check
1230,1,none,intimidation,check
1231,5,none,stealth,check
1232,13,none,strength,check
1233,14,none,intimidation,check
1234,2,none,wisdom,save
1235,15,advantage,melee,attack
1236,4,none,medicine,check
1237,9,none,strength,check
1238,14,none,initiative,nan
1239,8,none,melee,attack
1240,16,none,strength,check
1241,18,none,melee,attack
1242,7,none,melee,attack
1243,3,none,melee,attack
1244,19,none,persuasion,check
1245,15,none,initiative,nan
1246,12,none,sleight of hand,check
1247,10,none,melee,attack
1248,12,none,wisdom,save
1249,5,none,dexterity,check
1250,18,advantage,investigation,check
1251,5,none,melee,attack
1252,8,none,initiative,nan
1253,14,none,perception,check
1254,13,none,strength,check
1255,16,none,constitution,check
1256,4,none,strength,check
1257,4,none,nature,check
1258,10,none,nature,check
1259,11,none,perception,check
1260,17,none,sleight of hand,check
1261,20,none,melee,attack
1262,5,none,melee,attack
1263,10,none,melee,attack
1264,15,none,initiative,nan
1265,13,none,melee,attack
1266,20,none,insight,check
1267,1,none,strength,check
1268,18,none,dexterity,save
1269,6,none,initiative,nan
1270,7,none,persuasion,check
1271,17,none,melee,attack
1272,4,none,melee,attack
1273,20,advantage,initiative,nan
1274,1,none,constitution,check
1275,19,none,strength,check
1276,6,none,dexterity,save
1277,9,advantage,strength,save
1278,3,none,wisdom,save
1279,16,advantage,sleight of hand,check
1280,18,none,intimidation,check
1281,8,none,perception,check
1282,6,none,dexterity,save
1283,12,none,melee,attack
1284,15,none,charisma,check
1285,3,disadvantage,intimidation,check
1286,16,none,dexterity,save
1287,14,none,charisma,check
1288,4,none,athletics,check
1289,12,none,constitution,check
1290,18,none,dexterity,save
1291,13,none,melee,attack
1292,4,none,melee,attack
1293,3,none,initiative,nan
1294,6,none,thieves’ tools,check
1295,5,none,melee,attack
1296,3,none,melee,attack
1297,12,none,melee,attack
1298,6,none,perception,check
1299,16,none,melee,attack
1300,13,none,constitution,check
1301,18,none,investigation,check
1302,5,none,insight,check
1303,10,none,melee,attack
1304,18,none,dexterity,save
1305,6,none,dexterity,save
1306,5,none,melee,attack
1307,8,none,athletics,check
1308,5,none,melee,attack
1309,20,none,dexterity,save
1310,12,none,initiative,nan
1311,4,none,dexterity,save
1312,13,none,initiative,nan
1313,13,none,constitution,check
1314,9,advantage,ranged,attack
1315,14,advantage,melee,attack
1316,10,none,wisdom,save
1317,9,none,melee,attack
1318,8,none,melee,attack
1319,12,none,investigation,check
1320,13,none,melee,attack
1321,18,none,melee,attack
1322,11,none,melee,attack
1323,17,none,intimidation,check
1324,5,none,dexterity,save
1325,9,none,strength,check
1326,18,none,dexterity,save
1327,4,none,ranged,attack
1328,10,none,melee,attack
1329,20,none,strength,check
1330,15,none,perception,check
1331,17,none,melee,attack
1332,10,none,melee,attack
1333,12,none,melee,attack
1334,5,none,melee,attack
1335,17,none,athletics,check
1336,12,none,athletics,check
1337,14,none,strength,check
1338,2,none,perception,check
1339,7,none,persuasion,check
1340,2,disadvantage,strength,check
1341,17,none,sleight of hand,check
1342,10,disadvantage,investigation,check
1343,12,none,dexterity,save
1344,2,none,strength,check
1345,18,none,melee,attack
1346,19,none,dexterity,save
1347,19,advantage,initiative,nan
1348,5,none,melee,attack
1349,16,none,stealth,check
1350,11,none,strength,save
1351,12,advantage,melee,attack
1352,17,disadvantage,melee,attack
1353,8,none,athletics,check
1354,5,none,melee,attack
1355,7,none,athletics,check
1356,4,none,wisdom,save
1357,10,none,sleight of hand,check
1358,8,none,initiative,nan
1359,5,none,athletics,check
1360,9,none,initiative,nan
1361,2,advantage,investigation,check
1362,9,advantage,thieves’ tools,check
1363,14,advantage,athletics,check
1364,11,disadvantage,melee,attack
1365,10,none,investigation,check
1366,2,none,dexterity,save
1367,1,none,athletics,check
1368,5,none,initiative,nan
1369,12,none,athletics,check
1370,3,none,melee,attack
1371,19,none,melee,attack
1372,10,none,dexterity,save
1373,12,none,dexterity,save
1374,10,none,strength,check
1375,19,none,athletics,check
1376,13,none,melee,attack
1377,7,none,thieves’ tools,check
1378,9,none,strength,check
1379,17,none,nature,check
1380,12,none,charisma,check
1381,8,none,thieves’ tools,check
1382,13,none,persuasion,check
1383,13,none,thieves’ tools,check
1384,3,none,charisma,check
1385,15,none,melee,attack
1386,16,none,dexterity,save
1387,13,none,ranged,attack
1388,11,none,perception,check
1389,17,none,dexterity,save
1390,17,none,initiative,nan
1391,10,none,melee,attack
1392,15,advantage,investigation,check
1393,19,none,persuasion,check
1394,9,none,initiative,nan
1395,20,none,thieves’ tools,check
1396,13,none,melee,attack
1397,5,none,strength,check
1398,5,advantage,melee,attack
1399,17,none,melee,attack
1400,17,none,melee,attack
1401,19,none,strength,check
1402,19,none,ranged,attack
1403,7,none,melee,attack
1404,11,none,initiative,nan
1405,7,none,melee,attack
1406,4,none,athletics,check
1407,16,none,perception,check
1408,20,none,melee,attack
1409,17,advantage,sleight of hand,check
1410,18,none,dexterity,save
1411,8,none,athletics,check
1412,6,none,initiative,nan
1413,17,none,sleight of hand,check
1414,18,none,constitution,check
1415,11,none,perception,check
1416,16,none,dexterity,save
1417,3,none,melee,attack
1418,20,none,perception,check
1419,18,none,melee,attack
1420,17,none,thieves’ tools,check
1421,15,none,melee,attack
1422,10,none,melee,attack
1423,16,none,melee,attack
1424,17,none,persuasion,check
1425,11,none,intimidation,check
1426,5,none,melee,attack
1427,10,advantage,persuasion,check
1428,12,none,melee,attack
1429,20,advantage,athletics,check
1430,17,none,investigation,check
1431,20,none,initiative,nan
1432,11,none,dexterity,save
1433,13,none,charisma,check
1434,20,none,investigation,check
1435,14,advantage,strength,check
1436,1,none,dexterity,save
1437,9,none,melee,attack
1438,19,advantage,melee,attack
1439,7,none,charisma,check
1440,8,none,ranged,attack
1441,5,none,melee,attack
1442,1,none,athletics,check
1443,12,none,wisdom,save
1444,10,none,ranged,attack
1445,1,none,melee,attack
1446,19,advantage,strength,check
1447,17,advantage,investigation,check
1448,13,none,melee,attack
1449,11,none,melee,attack
1450,12,advantage,constitution,check
1451,8,none,strength,check
1452,5,none,investigation,check
1453,5,none,melee,attack
1454,8,none,initiative,nan
1455,4,none,melee,attack
1456,18,none,strength,check
1457,8,none,dexterity,save
1458,14,none,strength,check
1459,19,none,strength,check
1460,1,none,melee,attack
1461,14,none,athletics,check
1462,18,none,strength,check
1463,8,advantage,melee,attack
1464,10,none,strength,check
1465,7,none,melee,attack
1466,15,none,dexterity,save
1467,14,none,persuasion,check
1468,3,none,athletics,check
1469,17,none,intimidation,check
1470,4,none,melee,attack
1471,20,none,dexterity,check
1472,12,none,investigation,check
1473,18,none,strength,check
1474,19,none,dexterity,save
1475,17,advantage,initiative,nan
1476,7,none,persuasion,check
1477,20,none,investigation,check
1478,1,none,strength,check
1479,20,advantage,dexterity,save
1480,1,none,melee,attack
1481,18,advantage,melee,attack
1482,20,advantage,melee,attack
1483,13,none,melee,attack
1484,9,none,dexterity,save
1485,9,none,insight,check
1486,12,none,athletics,check
1487,10,none,strength,check
1488,8,none,melee,attack
1489,19,advantage,melee,attack
1490,8,none,strength,check
1491,7,none,strength,check
1492,8,none,thieves’ tools,check
1493,17,none,dexterity,save
1494,2,none,melee,attack
1495,14,none,perception,check
1496,16,none,melee,attack
1497,12,none,dexterity,save
1498,14,advantage,thieves’ tools,check
1499,2,none,melee,attack
1500,10,none,sleight of hand,check
1501,4,none,melee,attack
1502,13,advantage,investigation,check
1503,13,none,wisdom,save
1504,10,none,melee,attack
1505,5,none,melee,attack
1506,4,none,ranged,attack
1507,8,none,sleight of hand,check
1508,20,none,strength,check
1509,10,none,melee,attack
1510,17,none,ranged,attack
1511,6,none,constitution,check
1512,15,advantage,dexterity,save
1513,19,none,strength,save
1514,12,none,constitution,save
1515,11,none,athletics,check
1516,20,none,dexterity,save
1517,14,none,melee,attack
1518,3,none,dexterity,save
1519,13,none,thieves’ tools,check
1520,7,none,thieves’ tools,check
1521,18,advantage,strength,check
1522,1,none,melee,attack
1523,14,none,melee,attack
1524,4,none,dexterity,save
1525,8,none,strength,check
1526,19,advantage,dexterity,save
1527,1,none,melee,attack
1528,17,none,melee,attack
1529,18,none,strength,check
1530,7,none,persuasion,check
1531,10,none,sleight of hand,check
1532,18,none,melee,attack
1533,19,none,athletics,check
1534,20,none,investigation,check
1535,17,none,dexterity,save
1536,5,none,melee,attack
1537,20,advantage,investigation,check
1538,20,none,melee,attack
1539,20,none,ranged,attack
1540,12,none,nature,check
1541,8,none,perception,check
1542,16,none,melee,attack
1543,5,none,melee,attack
1544,10,none,initiative,nan
1545,1,none,melee,attack
1546,13,none,stealth,check
1547,2,none,dexterity,save
1548,1,none,strength,check
1549,19,none,stealth,check
1550,8,none,initiative,nan
1551,13,none,melee,attack
1552,3,none,strength,check
1553,19,none,sleight of hand,check
1554,12,none,strength,check
1555,14,none,melee,attack
1556,7,none,perception,check
1557,14,none,melee,attack
1558,10,advantage,dexterity,save
1559,4,none,investigation,check
1560,3,none,sleight of hand,check
1561,18,none,initiative,nan
1562,17,none,dexterity,save
1563,1,none,ranged,attack
1564,20,none,initiative,nan
1565,2,none,thieves’ tools,check
1566,19,advantage,melee,attack
1567,2,none,ranged,attack
1568,16,none,sleight of hand,check
1569,11,advantage,dexterity,save
1570,4,none,strength,check
1571,16,none,melee,attack
1572,17,none,melee,attack
1573,9,none,dexterity,save
1574,5,none,melee,attack
1575,3,none,initiative,nan
1576,8,none,athletics,check
1577,15,advantage,melee,attack
1578,5,disadvantage,ranged,attack
1579,7,none,initiative,nan
1580,7,none,initiative,nan
1581,10,none,initiative,nan
1582,5,none,dexterity,save
1583,12,none,initiative,nan
1584,20,none,melee,attack
1585,8,none,melee,attack
1586,6,none,dexterity,save
1587,9,none,sleight of hand,check
1588,8,none,strength,save
1589,20,none,dexterity,save
1590,4,none,melee,attack
1591,10,none,melee,attack
1592,16,none,ranged,attack
1593,5,none,melee,attack
1594,8,none,dexterity,save
1595,7,none,melee,attack
1596,1,none,athletics,check
1597,18,advantage,strength,check
1598,5,none,dexterity,save
1599,2,none,dexterity,save
1600,16,none,melee,attack
1601,14,none,athletics,check
1602,9,none,melee,attack
1603,15,none,melee,attack
1604,11,none,strength,check
1605,2,none,melee,attack
1606,3,disadvantage,persuasion,check
1607,10,none,initiative,nan
1608,10,none,melee,attack
1609,4,none,melee,attack
1610,3,none,perception,check
1611,13,none,melee,attack
1612,13,none,strength,check
1613,12,none,dexterity,save
1614,10,none,dexterity,save
1615,5,none,melee,attack
1616,15,none,constitution,save
1617,3,none,intimidation,check
1618,20,advantage,stealth,check
1619,7,none,melee,attack
1620,19,advantage,melee,attack
1621,11,disadvantage,perception,check
1622,1,none,athletics,check
1623,18,advantage,melee,attack
1624,14,none,melee,attack
1625,1,none,constitution,save
1626,2,none,dexterity,save
1627,18,advantage,melee,attack
1628,5,none,wisdom,save
1629,10,none,strength,check
1630,17,none,melee,attack
1631,14,none,thieves’ tools,check
1632,13,none,dexterity,save
1633,19,none,melee,attack
1634,2,none,melee,attack
1635,6,disadvantage,melee,attack
1636,16,none,dexterity,check
1637,12,none,melee,attack
1638,13,none,melee,attack
1639,13,none,insight,check
1640,16,none,dexterity,save
1641,18,none,dexterity,save
1642,15,none,initiative,nan
1643,16,none,melee,attack
1644,19,none,wisdom,save
1645,8,none,dexterity,save
1646,9,none,initiative,nan
1647,8,none,deception,check
1648,1,none,melee,attack
1649,16,none,dexterity,check
1650,19,advantage,strength,save
1651,18,none,strength,check
1652,13,none,insight,check
1653,6,none,ranged,attack
1654,6,none,melee,attack
1655,16,none,dexterity,save
1656,16,advantage,melee,attack
1657,19,advantage,dexterity,save
1658,3,none,dexterity,save
1659,18,advantage,strength,check
1660,2,none,perception,check
1661,2,none,strength,check
1662,20,none,charisma,check
1663,1,none,ranged,attack
1664,2,none,strength,save
1665,20,none,melee,attack
1666,8,none,sleight of hand,check
1667,6,none,charisma,check
1668,12,none,dexterity,check
1669,2,none,sleight of hand,check
1670,4,none,dexterity,save
1671,7,none,dexterity,save
1672,10,none,investigation,check
1673,7,none,melee,attack
1674,16,none,initiative,nan
1675,10,none,thieves’ tools,check
1676,13,none,intimidation,check
1677,7,none,melee,attack
1678,18,advantage,melee,attack
1679,12,none,athletics,check
1680,14,none,melee,attack
1681,3,none,melee,attack
1682,5,none,initiative,nan
1683,14,advantage,melee,attack
1684,11,none,melee,attack
1685,18,none,constitution,check
1686,12,none,initiative,nan
1687,2,none,wisdom,save
1688,12,none,investigation,check
1689,16,none,wisdom,save
1690,6,none,investigation,check
1691,1,none,melee,attack
1692,8,none,dexterity,save
1693,14,none,melee,attack
1694,5,none,thieves’ tools,check
1695,9,none,melee,attack
1696,17,none,melee,attack
1697,4,none,initiative,nan
1698,6,advantage,melee,attack
1699,20,none,athletics,check
1700,19,advantage,dexterity,save
1701,1,none,dexterity,save
1702,6,none,perception,check
1703,12,none,dexterity,save
1704,15,none,strength,check
1705,7,none,initiative,nan
1706,11,none,investigation,check
1707,8,none,ranged,attack
1708,8,none,melee,attack
1709,19,none,persuasion,check
1710,10,none,dexterity,save
1711,13,advantage,investigation,check
1712,10,advantage,athletics,check
1713,6,advantage,melee,attack
1714,9,none,dexterity,save
1715,10,none,strength,check
1716,8,advantage,athletics,check
1717,16,none,dexterity,save
1718,14,disadvantage,strength,save
1719,13,none,wisdom,save
1720,11,advantage,dexterity,save
1721,11,none,ranged,attack
1722,15,none,melee,attack
1723,20,none,athletics,check
1724,6,none,strength,check
1725,20,none,investigation,check
1726,2,none,melee,attack
1727,14,none,melee,attack
1728,5,none,athletics,check
1729,11,advantage,melee,attack
1730,18,none,melee,attack
1731,18,none,melee,attack
1732,15,none,melee,attack
1733,14,none,nature,check
1734,15,none,initiative,nan
1735,17,none,dexterity,save
1736,17,none,wisdom,save
1737,4,none,dexterity,save
1738,4,advantage,constitution,check
1739,18,none,melee,attack
1740,5,none,investigation,check
1741,2,none,strength,check
1742,17,none,perception,check
1743,4,none,melee,attack
1744,1,none,persuasion,check
1745,19,none,melee,attack
1746,18,none,strength,check
1747,1,none,melee,attack
1748,10,none,arcana,check
1749,18,none,melee,attack
1750,11,none,dexterity,save
1751,2,none,charisma,check
1752,12,advantage,dexterity,check
1753,7,none,melee,attack
1754,12,none,wisdom,save
1755,2,none,initiative,nan
1756,6,none,dexterity,save
1757,18,advantage,perception,check
1758,7,none,intimidation,check
1759,2,none,nature,check
1760,15,none,strength,check
1761,6,none,strength,save
1762,11,none,melee,attack
1763,3,none,investigation,check
1764,6,none,melee,attack
1765,13,none,dexterity,save
1766,18,none,strength,check
1767,11,none,strength,check
1768,18,none,melee,attack
1769,4,none,melee,attack
1770,6,none,arcana,check
1771,15,none,perception,check
1772,1,none,strength,check
1773,18,advantage,initiative,nan
1774,9,none,melee,attack
1775,15,advantage,dexterity,save
1776,16,none,melee,attack
1777,19,none,initiative,nan
1778,3,none,initiative,nan
1779,13,none,initiative,nan
1780,2,disadvantage,dexterity,save
1781,17,none,melee,attack
1782,11,none,melee,attack
1783,17,advantage,dexterity,save
1784,16,none,melee,attack
1785,9,none,melee,attack
1786,14,none,perception,check
1787,20,none,ranged,attack
1788,6,advantage,ranged,attack
1789,7,none,melee,attack
1790,19,advantage,melee,attack
1791,2,none,melee,attack
1792,3,none,stealth,check
1793,3,none,strength,save
1794,11,advantage,initiative,nan
1795,6,none,ranged,attack
1796,12,advantage,initiative,nan
1797,20,advantage,charisma,check
1798,14,none,constitution,check
1799,7,none,melee,attack
1800,17,none,ranged,attack
1801,3,none,athletics,check
1802,19,none,melee,attack
1803,20,none,initiative,nan
1804,11,none,perception,check
1805,6,none,melee,attack
1806,10,none,dexterity,save
1807,13,none,melee,attack
1808,4,none,athletics,check
1809,12,advantage,arcana,check
1810,2,none,melee,attack
1811,5,none,melee,attack
1812,1,none,intimidation,check
1813,2,none,initiative,nan
1814,6,none,persuasion,check
1815,20,none,initiative,nan
1816,8,none,dexterity,save
1817,6,none,melee,attack
1818,15,none,melee,attack
1819,18,none,melee,attack
1820,6,none,stealth,check
1821,7,none,dexterity,save
1822,5,none,strength,check
1823,14,advantage,melee,attack
1824,16,none,melee,attack
1825,1,disadvantage,investigation,check
1826,20,none,constitution,check
1827,2,none,stealth,check
1828,1,none,initiative,nan
1829,12,none,melee,attack
1830,16,none,dexterity,save
1831,7,none,melee,attack
1832,18,none,melee,attack
1833,1,none,investigation,check
1834,2,advantage,dexterity,save
1835,2,none,melee,attack
1836,6,none,charisma,check
1837,17,none,deception,check
1838,4,none,charisma,check
1839,12,disadvantage,melee,attack
1840,18,none,initiative,nan
1841,20,advantage,insight,check
1842,16,none,stealth,check
1843,4,none,melee,attack
1844,7,none,deception,check
1845,11,none,melee,attack
1846,15,none,initiative,nan
1847,17,none,melee,attack
1848,2,none,dexterity,check
1849,17,advantage,athletics,check
1850,10,none,wisdom,save
1851,8,none,melee,attack
1852,12,none,athletics,check
1853,5,none,constitution,save
1854,17,none,melee,attack
1855,6,none,constitution,check
1856,4,none,melee,attack
1857,6,none,persuasion,check
1858,7,none,perception,check
1859,1,none,melee,attack
1860,13,none,strength,check
1861,20,none,melee,attack
1862,12,none,initiative,nan
1863,16,none,melee,attack
1864,8,none,dexterity,save
1865,19,none,initiative,nan
1866,16,none,athletics,check
1867,7,advantage,dexterity,save
1868,9,none,insight,check
1869,19,none,athletics,check
1870,11,none,perception,check
1871,10,none,melee,attack
1872,8,none,ranged,attack
1873,15,none,dexterity,check
1874,8,none,melee,attack
1875,17,none,melee,attack
1876,16,none,melee,attack
1877,4,none,melee,attack
1878,13,none,initiative,nan
1879,4,none,initiative,nan
1880,14,none,strength,check
1881,11,none,dexterity,save
1882,18,none,dexterity,save
1883,7,none,strength,check
1884,4,none,dexterity,save
1885,20,none,thieves’ tools,check
1886,10,none,dexterity,save
1887,14,advantage,investigation,check
1888,15,none,melee,attack
1889,4,none,dexterity,save
1890,4,none,thieves’ tools,check
1891,15,none,melee,attack
1892,9,none,dexterity,check
1893,5,disadvantage,arcana,check
1894,19,none,wisdom,save
1895,14,none,melee,attack
1896,2,none,melee,attack
1897,11,none,melee,attack
1898,15,advantage,persuasion,check
1899,5,disadvantage,melee,attack
1900,10,advantage,perception,check
1901,7,none,melee,attack
1902,4,none,strength,check
1903,6,none,melee,attack
1904,19,none,melee,attack
1905,11,none,melee,attack
1906,13,none,strength,check
1907,2,none,thieves’ tools,check
1908,19,none,nature,check
1909,8,advantage,melee,attack
1910,15,none,sleight of hand,check
1911,14,none,insight,check
1912,15,none,strength,check
1913,18,advantage,melee,attack
1914,19,advantage,dexterity,save
1915,4,none,strength,check
1916,19,advantage,melee,attack
1917,3,none,stealth,check
1918,14,none,melee,attack
1919,13,none,ranged,attack
1920,4,none,perception,check
1921,18,advantage,athletics,check
1922,13,none,strength,save
1923,9,none,melee,attack
1924,11,none,strength,check
1925,8,none,initiative,nan
1926,6,none,initiative,nan
1927,20,advantage,melee,attack
1928,14,none,medicine,check
1929,4,none,melee,attack
1930,11,none,initiative,nan
1931,19,none,athletics,check
1932,12,none,dexterity,save
1933,7,none,melee,attack
1934,5,none,initiative,nan
1935,15,none,strength,check
1936,5,none,thieves’ tools,check
1937,8,none,athletics,check
1938,2,none,dexterity,save
1939,19,none,perception,check
1940,8,none,stealth,check
1941,4,none,constitution,check
1942,15,none,stealth,check
1943,2,none,investigation,check
1944,10,none,ranged,attack
1945,1,none,melee,attack
1946,14,none,charisma,check
1947,18,advantage,dexterity,check
1948,15,advantage,strength,check
1949,17,none,melee,attack
1950,1,none,melee,attack
1951,9,none,initiative,nan
1952,6,none,dexterity,save
1953,1,none,insight,check
1954,8,none,dexterity,check
1955,2,none,melee,attack
1956,7,none,initiative,nan
1957,2,none,initiative,nan
1958,2,none,initiative,nan
1959,11,none,constitution,check
1960,16,none,initiative,nan
1961,1,none,strength,check
1962,6,none,perception,check
1963,8,none,initiative,nan
1964,20,none,initiative,nan
1965,7,none,initiative,nan
1966,11,none,strength,check
1967,3,none,ranged,attack
1968,6,disadvantage,initiative,nan
1969,18,advantage,melee,attack
1970,16,none,melee,attack
1971,12,none,melee,attack
1972,3,none,dexterity,save
1973,7,none,persuasion,check
1974,12,none,ranged,attack
1975,8,none,strength,check
1976,3,none,melee,attack
1977,8,none,initiative,nan
1978,10,advantage,ranged,attack
1979,19,none,intimidation,check
1980,19,none,persuasion,check
1981,15,none,melee,attack
1982,6,disadvantage,ranged,attack
1983,14,none,melee,attack
1984,18,none,dexterity,save
1985,17,none,dexterity,save
1986,20,none,melee,attack
1987,8,none,athletics,check
1988,18,advantage,melee,attack
1989,16,none,dexterity,check
1990,16,advantage,constitution,check
1991,1,none,melee,attack
1992,12,none,wisdom,save
1993,16,advantage,melee,attack
1994,18,advantage,thieves’ tools,check
1995,2,none,dexterity,save
1996,5,none,strength,check
1997,7,none,melee,attack
1998,12,none,athletics,check
1999,9,none,melee,attack
2000,11,none,stealth,check
2001,1,none,dexterity,save
2002,19,none,ranged,attack
2003,2,none,melee,attack
2004,12,none,ranged,attack
2005,19,none,strength,save
2006,14,none,strength,check
2007,4,none,constitution,check
2008,15,none,melee,attack
2009,15,none,melee,attack
2010,15,none,deception,check
2011,12,none,thieves’ tools,check
2012,17,none,initiative,nan
2013,9,none,melee,attack
2014,17,none,ranged,attack
2015,16,advantage,sleight of hand,check
2016,2,none,athletics,check
2017,17,none,persuasion,check
2018,7,none,melee,attack
2019,20,none,dexterity,save
2020,9,none,dexterity,save
2021,13,none,deception,check
2022,12,none,strength,check
2023,8,none,melee,attack
2024,18,none,perception,check
2025,14,disadvantage,dexterity,save
2026,10,none,melee,attack
2027,16,none,melee,attack
2028,13,none,perception,check
2029,17,none,melee,attack
2030,14,advantage,stealth,check
2031,8,none,strength,save
2032,17,none,thieves’ tools,check
2033,14,none,initiative,nan
2034,16,none,stealth,check
2035,11,none,dexterity,save
2036,17,none,dexterity,save
2037,16,none,sleight of hand,check
2038,6,none,melee,attack
2039,15,advantage,athletics,check
2040,3,none,strength,check
2041,6,none,investigation,check
2042,16,none,melee,attack
2043,17,none,strength,save
2044,5,none,dexterity,save
2045,6,none,insight,check
2046,2,disadvantage,strength,check
2047,5,none,strength,check
2048,3,none,ranged,attack
2049,7,none,stealth,check
2050,4,disadvantage,melee,attack
2051,16,none,melee,attack
2052,15,none,melee,attack
2053,14,none,thieves’ tools,check
2054,17,none,intimidation,check
2055,8,none,initiative,nan
2056,1,none,dexterity,save
2057,1,none,melee,attack
2058,6,none,insight,check
2059,14,none,dexterity,save
2060,19,none,constitution,check
2061,14,none,strength,save
2062,2,none,melee,attack
2063,6,none,melee,attack
2064,13,none,melee,attack
2065,14,none,melee,attack
2066,7,none,dexterity,save
2067,18,none,constitution,save
2068,5,none,melee,attack
2069,11,none,athletics,check
2070,19,advantage,constitution,save
2071,10,advantage,deception,check
2072,12,none,melee,attack
2073,12,none,melee,attack
2074,18,none,ranged,attack
2075,19,none,athletics,check
2076,18,none,dexterity,save
2077,4,none,wisdom,save
2078,19,none,melee,attack
2079,19,none,charisma,check
2080,2,none,melee,attack
2081,12,none,constitution,check
2082,5,none,dexterity,save
2083,10,none,dexterity,save
2084,14,none,sleight of hand,check
2085,1,none,strength,check
2086,15,none,arcana,check
2087,14,advantage,dexterity,save
2088,1,none,strength,check
2089,13,none,melee,attack
2090,16,none,melee,attack
2091,19,none,initiative,nan
2092,10,none,wisdom,save
2093,1,advantage,melee,attack
2094,13,none,melee,attack
2095,1,none,wisdom,save
2096,1,none,strength,check
2097,14,none,melee,attack
2098,18,advantage,athletics,check
2099,16,none,intimidation,check
2100,15,none,wisdom,save
2101,20,none,persuasion,check
2102,6,none,dexterity,save
2103,8,none,thieves’ tools,check
2104,17,advantage,initiative,nan
2105,9,none,wisdom,save
2106,1,none,strength,check
2107,8,none,strength,save
2108,16,none,investigation,check
2109,14,none,melee,attack
2110,9,none,stealth,check
2111,15,none,melee,attack
2112,13,none,strength,check
2113,8,none,melee,attack
2114,20,none,medicine,check
2115,10,none,athletics,check
2116,17,none,perception,check
2117,15,none,melee,attack
2118,17,none,melee,attack
2119,16,none,athletics,check
2120,4,none,melee,attack
2121,16,none,athletics,check
2122,13,none,dexterity,save
2123,14,none,intimidation,check
2124,8,none,dexterity,check
2125,20,none,melee,attack
2126,6,advantage,strength,check
2127,6,none,dexterity,save
2128,5,none,constitution,check
2129,2,none,melee,attack
2130,17,none,wisdom,save
2131,3,none,strength,check
2132,5,none,perception,check
2133,20,none,arcana,check
